Date;time;magx;magy;magz;lat;long;gpitch;groll;gyaw
09/04/2020;22:24:52;12,0724473;-38,35915517;-5,597303867;17,11323738;21,23583031;15,76090398;88,68053973;19,76972984
09/04/2020;22:24:55;11,92260319;-38,24605065;-5,731016159;17,0652256;21,18483353;351,9515826;130,7219933;47,29987621
09/04/2020;22:24:58;11,77270444;-38,13308957;-5,749406815;17,01570892;21,08139992;316,681967;167,3057569;54,49160778
09/04/2020;22:25:01;11,57275493;-37,9826888;-5,91912508;17,2493248;20,88748169;291,3529515;249,9541231;5,234512265
09/04/2020;22:25:04;11,42273153;-37,87004532;-6,135642529;17,44055557;20,53897476;317,4928061;331,9297906;316,7607805
09/04/2020;22:25:07;11,27265605;-37,75753845;-6,183080196;17,57865906;20,2726078;352,7668715;8,424023204;324,0666924
09/04/2020;22:25:10;11,12252849;-37,64516135;-6,160022736;17,41635513;20,3672657;15,86677704;50,86519398;351,604556
09/04/2020;22:25:14;10,97235142;-37,5329106;-6,438192368;17,05714035;20,54395294;11,56042985;100,3013006;28,84500902
09/04/2020;22:25:17;10,82212397;-37,42079305;-6,588532448;17,04862785;20,73705292;343,6687769;139,3368426;51,60876593
09/04/2020;22:25:20;10,67184785;-37,30879844;-6,838760853;17,12878609;20,87213516;307,5647095;179,1923898;51,3568788
09/04/2020;22:25:23;10,52152393;-37,19693018;-6,970636368;17,08767509;20,82370377;293,5718409;282,1282893;340,9436903
09/04/2020;22:25:26;10,32101775;-37,04796034;-7,348829269;16,89775276;21,13578987;326,0686379;342,0354038;315,7537272
09/04/2020;22:25:29;10,17058368;-36,93637213;-7,423605919;16,85050011;21,30827713;359,7718723;18,12849173;329,039999
09/04/2020;22:25:32;10,02010437;-36,82490344;-7,363948822;16,86865425;21,30192375;17,47404861;63,00274407;1,181736385
09/04/2020;22:25:35;9,869579808;-36,71355086;-7,427969933;16,76689339;21,26518631;6,323990617;110,3870517;36,02617087
09/04/2020;22:25:39;9,719011703;-36,60231099;-7,528170586;16,7645359;21,26790047;334,8143502;147,4184454;54,14134544
09/04/2020;22:25:42;9,568399202;-36,49118381;-7,753993034;16,82326698;21,49966049;299,5734394;194,7527801;44,12350698
09/04/2020;22:25:45;9,417744865;-36,38016933;-7,892488956;16,82116508;21,69761467;300,0160903;305,1314785;325,775131
09/04/2020;22:25:48;9,267048694;-36,26926072;-8,119885445;16,74528694;21,79351616;335,441213;351,3726523;316,6902691
09/04/2020;22:25:51;9,066055864;-36,12155446;-7,915669918;16,75022125;21,86554718;7,072339013;28,20677565;335,4626069
09/04/2020;22:25:54;8,91526407;-36,01089174;-8,077323914;16,60572243;21,83005714;17,93688785;76,17669;10,7412494
09/04/2020;22:25:57;8,764433002;-35,90033488;-8,159219742;16,43640518;21,76943588;359,5563099;121,5124394;42,30692938
09/04/2020;22:26:00;8,613563515;-35,78988048;-8,623879433;16,50046921;21,48801804;325,7077819;157,7708402;54,57718322
09/04/2020;22:26:04;8,462655608;-35,6795217;-9,080690384;16,58942223;21,4924736;293,5635081;220,1015382;27,05126815
09/04/2020;22:26:07;8,311710989;-35,56926537;-9,222166061;16,57744217;21,56577301;308,9678933;320,1483426;319,3776104
09/04/2020;22:26:10;8,160729657;-35,45910125;-9,486397743;16,59918404;21,66486168;345,1790359;359,4522939;319,9406844
09/04/2020;22:26:13;8,009711613;-35,34902933;-9,586339951;16,68013382;21,95737267;13,37107372;39,32399794;342,8658609
09/04/2020;22:26:16;7,808301287;-35,20241249;-9,594379425;16,76572609;22,25447083;16,50824791;89,4463542;20,26294975
09/04/2020;22:26:19;7,657202989;-35,09255573;-9,796204567;16,87103081;22,33875656;352,175378;131,1236767;47,19986517
09/04/2020;22:26:22;7,506071393;-34,98278434;-10,01551533;16,97541046;22,1565609;316,4408886;168,2222727;53,80478104
09/04/2020;22:26:25;7,354907354;-34,87310175;-10,2287569;17,12819481;22,27631187;291,6806777;251,7293439;3,227862665
09/04/2020;22:26:29;7,203710871;-34,76350112;-10,50457764;16,91881752;22,10643005;318,091158;332,3750421;316,0344138
09/04/2020;22:26:32;7,05248408;-34,65398245;-10,56700802;16,9017067;21,93262672;353,4139645;9,263087184;323,8273694
09/04/2020;22:26:35;6,901226126;-34,54454575;-10,60592461;16,9533596;21,98083878;16,34985241;52,12050761;352,1120561
09/04/2020;22:26:38;6,749938289;-34,43518759;-10,83597469;16,74847031;22,28608131;11,32359816;101,359454;28,87705626
09/04/2020;22:26:41;6,548175782;-34,28949965;-10,88828182;16,57613945;22,60146904;342,8095665;140,1496215;51,05627193
09/04/2020;22:26:44;6,396821351;-34,18031908;-11,01617908;16,49628639;22,51825333;306,3694127;181,6183537;49,41283963
09/04/2020;22:26:47;6,245439173;-34,07121022;-11,36451912;16,45834923;22,73635101;294,7639138;286,4739288;336,4626541
